domain,business_count,business_percentage
dadeschools.net,32,5.5846422338568935
fiu.edu,21,3.664921465968586
ameritrade.com,19,3.315881326352531
mymdc.net,18,3.1413612565445024
miamiedtech.com,15,2.6178010471204187
mdc.edu,12,2.094240837696335
miamidade.gov,10,1.7452006980802792
kf.org,7,1.2216404886561953
med.miami.edu,7,1.2216404886561953
address.com,6,1.0471204188481675
miamigov.com,6,1.0471204188481675
oicsfl.org,6,1.0471204188481675
miami.edu,5,0.8726003490401396
zagcreates.com,4,0.6980802792321117
fmuniv.edu,4,0.6980802792321117
netscape.net,4,0.6980802792321117
miamichamber.com,4,0.6980802792321117
overtownyouth.org,3,0.5235602094240838
fpl.com,3,0.5235602094240838
mbdaexport.com,3,0.5235602094240838
miamifoundation.org,3,0.5235602094240838
atlanticbb.net,3,0.5235602094240838
ridealto.com,3,0.5235602094240838
beaconcouncil.com,3,0.5235602094240838
ibm.com,3,0.5235602094240838
m-dcc.org,3,0.5235602094240838
qwest.net,2,0.34904013961605584
ml.com,2,0.34904013961605584
stu.edu,2,0.34904013961605584
comcast.com,2,0.34904013961605584
adelphia.com,2,0.34904013961605584
baptisthealth.net,2,0.34904013961605584
statefarm.com,2,0.34904013961605584
lab22c.com,2,0.34904013961605584
ingrammicro.com,2,0.34904013961605584
va.gov,2,0.34904013961605584
careersourcesfl.com,2,0.34904013961605584
webtv.net,2,0.34904013961605584
e2insurance.com,2,0.34904013961605584
cei.net,2,0.34904013961605584
mdia.miami,2,0.34904013961605584
zadvertisinggroup.com,2,0.34904013961605584
lancopaints.com,2,0.34904013961605584
netzero.com,2,0.34904013961605584
homesteadfl.gov,2,0.34904013961605584
benstonegroup.com,2,0.34904013961605584
ix.netcom.com,2,0.34904013961605584
opals.net,1,0.17452006980802792
zurich.com,1,0.17452006980802792
eocpeople.com,1,0.17452006980802792
hilton.com,1,0.17452006980802792
sfl.sysco.com,1,0.17452006980802792
noaa.gov,1,0.17452006980802792
tceinc.com,1,0.17452006980802792
email.wm.edu,1,0.17452006980802792
relatedgroup.com,1,0.17452006980802792
sheltonandstewart.com,1,0.17452006980802792
specinst.com,1,0.17452006980802792
citi.com,1,0.17452006980802792
targetengineering.com,1,0.17452006980802792
karlville.com,1,0.17452006980802792
haccof.com,1,0.17452006980802792
plastecusa.com,1,0.17452006980802792
mgillonline.com,1,0.17452006980802792
beferalaw.com,1,0.17452006980802792
wellsfargo.com,1,0.17452006980802792
nova.edu,1,0.17452006980802792
bmscorp.net,1,0.17452006980802792
efgcapital.com,1,0.17452006980802792
hakkinen.com,1,0.17452006980802792
levi.com,1,0.17452006980802792
budd-e.net,1,0.17452006980802792
pescanovausa.com,1,0.17452006980802792
estee.com,1,0.17452006980802792
galleriafarms.com,1,0.17452006980802792
altisllc.com,1,0.17452006980802792
agt.com,1,0.17452006980802792
catalystmiami.org,1,0.17452006980802792
worldcourier.com,1,0.17452006980802792
adrianacastroonline.com,1,0.17452006980802792
jbjprecision.com,1,0.17452006980802792
citynational.com,1,0.17452006980802792
themedilawfirm.com,1,0.17452006980802792
harpersair.com,1,0.17452006980802792
aircav.com,1,0.17452006980802792
idmworks.com,1,0.17452006980802792
fritzgeitner.com,1,0.17452006980802792
bftg.com,1,0.17452006980802792
refreshmiami.com,1,0.17452006980802792
pycca.com,1,0.17452006980802792
baeza.com,1,0.17452006980802792
arrizurieta.com,1,0.17452006980802792
pepboys.com,1,0.17452006980802792
myself.com,1,0.17452006980802792
gvtc.com,1,0.17452006980802792
the-barras.com,1,0.17452006980802792
hialeahmeter.com,1,0.17452006980802792
celebrity.com,1,0.17452006980802792
gogig.com,1,0.17452006980802792
avsrms.com,1,0.17452006980802792
mcx.es,1,0.17452006980802792
dell.com,1,0.17452006980802792
willdalepress.com,1,0.17452006980802792
trivest.com,1,0.17452006980802792
tulane.edu,1,0.17452006980802792
sacherzelman.com,1,0.17452006980802792
tobiasinc.com,1,0.17452006980802792
accenture.com,1,0.17452006980802792
prosperausa.org,1,0.17452006980802792
intelnet.net.gt,1,0.17452006980802792
unitedwaymiami.org,1,0.17452006980802792
miamidda.com,1,0.17452006980802792
caribesa.com,1,0.17452006980802792
tgcinc.com,1,0.17452006980802792
southeastoffset.com,1,0.17452006980802792
bodybuilders.com,1,0.17452006980802792
bdpnet.com,1,0.17452006980802792
in.com,1,0.17452006980802792
ahca.myflorida.com,1,0.17452006980802792
blackbirdgc.com,1,0.17452006980802792
paveca.com.ve,1,0.17452006980802792
bc.edu,1,0.17452006980802792
allraum.com,1,0.17452006980802792
aims.aero,1,0.17452006980802792
grovebook.com,1,0.17452006980802792
baloyralaw.com,1,0.17452006980802792
elcmdm.org,1,0.17452006980802792
anzola.com,1,0.17452006980802792
rawfoods.com,1,0.17452006980802792
frtankterminals.com,1,0.17452006980802792
sflhcc.com,1,0.17452006980802792
endeavor.org,1,0.17452006980802792
aguilarfirm.com,1,0.17452006980802792
self-help.org,1,0.17452006980802792
thepensionstudio.com,1,0.17452006980802792
alving.org,1,0.17452006980802792
carlosanaya.net,1,0.17452006980802792
pboschlaw.com,1,0.17452006980802792
guyladams.com,1,0.17452006980802792
tranceaddict.net,1,0.17452006980802792
yaoo.net,1,0.17452006980802792
iese.net,1,0.17452006980802792
carichexpos.com,1,0.17452006980802792
brodsonconstruction.com,1,0.17452006980802792
amgfl.com,1,0.17452006980802792
sunshinegasoline.com,1,0.17452006980802792
winterwoodworks.com,1,0.17452006980802792
amadopa.com,1,0.17452006980802792
gosprout.app,1,0.17452006980802792
nanafl.org,1,0.17452006980802792
wolfbergalvarez.com,1,0.17452006980802792
insomnic.net,1,0.17452006980802792
usa.net,1,0.17452006980802792
tworld.com,1,0.17452006980802792
irwinbecker.com,1,0.17452006980802792
scorevolunteer.org,1,0.17452006980802792
advantas.net,1,0.17452006980802792
xanatos.com,1,0.17452006980802792
mpwproperties.com,1,0.17452006980802792
elp.rr.com,1,0.17452006980802792
emediafactory.net,1,0.17452006980802792
gwu.edu,1,0.17452006980802792
baclawfirm.com,1,0.17452006980802792
occhio.nl,1,0.17452006980802792
prs-efg.com,1,0.17452006980802792
mch.com,1,0.17452006980802792
nigerpublishing.com,1,0.17452006980802792
salesfunnelprofessor.com,1,0.17452006980802792
